"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] PlayerNameComparatorLevenshtein record1Value","[0] PlayerNameComparatorLevenshtein record2Value","[0] PlayerNameComparatorLevenshtein record1PreprocessedValue","[0] PlayerNameComparatorLevenshtein record2PreprocessedValue","[0] PlayerNameComparatorLevenshtein similarity","[0] PlayerNameComparatorLevenshtein postproccesedSimilarity","[1] PlayerBirthDateComparatorEqual record1Value","[1] PlayerBirthDateComparatorEqual record2Value","[1] PlayerBirthDateComparatorEqual record1PreprocessedValue","[1] PlayerBirthDateComparatorEqual record2PreprocessedValue","[1] PlayerBirthDateComparatorEqual similarity","[1] PlayerBirthDateComparatorEqual postproccesedSimilarity","[2] PlayerHeightComparatorPercentageSim record1Value","[2] PlayerHeightComparatorPercentageSim record2Value","[2] PlayerHeightComparatorPercentageSim record1PreprocessedValue","[2] PlayerHeightComparatorPercentageSim record2PreprocessedValue","[2] PlayerHeightComparatorPercentageSim similarity","[2] PlayerHeightComparatorPercentageSim postproccesedSimilarity","[3] PlayerWeightComparatorPercentageSim record1Value","[3] PlayerWeightComparatorPercentageSim record2Value","[3] PlayerWeightComparatorPercentageSim record1PreprocessedValue","[3] PlayerWeightComparatorPercentageSim record2PreprocessedValue","[3] PlayerWeightComparatorPercentageSim similarity","[3] PlayerWeightComparatorPercentageSim postproccesedSimilarity"
"WekaMatchingRule","player_stat_id_1394","player_dbpedia_id_1376","8.098170124883168E-6",,"matt geiger","marlou aquino","matt geiger","marlou aquino","0.23076923076923073","0.23076923076923073","1969-09-10","1972-10-07","1969-09-10","1972-10-07","0.0","0.0","213.36000061035156","205.74000549316406","213.36000061035156","205.74000549316406","0.9928571474546407","0.9928571474546407","110.19999694824219","108.86000061035156","110.19999694824219","108.86000061035156","0.9975680646551742","0.9975680646551742"
"WekaMatchingRule","player_stat_id_3332","player_dbpedia_id_4109",,"0","connie rea","alexey shved","connie rea","alexey shved","0.16666666666666663","0.16666666666666663","1935-01-27","1988-12-16","1935-01-27","1988-12-16","0.0","0.0","190.5","190.5","190.5","190.5","1.0","1.0","79.37000274658203","86.0","79.37000274658203","86.0","0.9845814017362373","0.9845814017362373"
"WekaMatchingRule","player_stat_id_205","player_dbpedia_id_645","1.4434862347367558E-5",,"matt barnes","martynas paliukėnas","matt barnes","martynas paliukėnas","0.368421052631579","0.368421052631579","1980-03-09","1993-09-14","1980-03-09","1993-09-14","0.0","0.0","200.66000366210938","0.0","200.66000366210938","0.0","0.8","0.8","102.48999786376953","85.0","102.48999786376953","85.0","0.9658698444173697","0.9658698444173697"
"WekaMatchingRule","player_stat_id_694","player_dbpedia_id_26",,"0","randolph childress","dušan ristić","randolph childress","dušan ristić","0.16666666666666663","0.16666666666666663","1972-09-21","1995-11-27","1972-09-21","1995-11-27","0.0","0.0","187.9600067138672","203.1999969482422","187.9600067138672","203.1999969482422","0.9850000093865584","0.9850000093865584","85.26000213623047","112.0","85.26000213623047","112.0","0.9522500038146973","0.9522500038146973"
"WekaMatchingRule","player_stat_id_1041","player_dbpedia_id_5376","0.9999974935354267","1","toney douglas","toney douglas","toney douglas","toney douglas","1.0","1.0","1986-03-16","1986-03-16","1986-03-16","1986-03-16","1.0","1.0","187.9600067138672","0.0","187.9600067138672","0.0","0.8","0.8","88.44000244140625","86.0","88.44000244140625","86.0","0.9944821294119189","0.9944821294119189"
"WekaMatchingRule","player_stat_id_1051","player_dbpedia_id_6599","0.9999912975478001","1","zoran dragic","zoran dragić","zoran dragic","zoran dragić","0.9166666666666666","0.9166666666666666","1989-06-22","1989-06-22","1989-06-22","1989-06-22","1.0","1.0","195.5800018310547","0.0","195.5800018310547","0.0","0.8","0.8","90.69999694824219","91.0","90.69999694824219","91.0","0.9993406526334994","0.9993406526334994"
"WekaMatchingRule","player_stat_id_310","player_dbpedia_id_2940","0.9999982199420281","1","sim bhullar","sim bhullar","sim bhullar","sim bhullar","1.0","1.0","1992-12-02","1992-12-02","1992-12-02","1992-12-02","1.0","1.0","226.05999755859375","226.05999755859375","226.05999755859375","226.05999755859375","1.0","1.0","163.27000427246094","163.3000030517578","163.27000427246094","163.3000030517578","0.9999632593034461","0.9999632593034461"
"WekaMatchingRule","player_stat_id_926","player_dbpedia_id_2174","2.1754744030640662E-5",,"mark davis","matt crenshaw","mark davis","matt crenshaw","0.3076923076923077","0.3076923076923077","1973-04-26","1978-07-19","1973-04-26","1978-07-19","0.0","0.0","200.66000366210938","187.9600067138672","200.66000366210938","187.9600067138672","0.9873417754246355","0.9873417754246355","95.23999786376953","90.72000122070312","95.23999786376953","90.72000122070312","0.9905081966727219","0.9905081966727219"
"WekaMatchingRule","player_stat_id_1762","player_dbpedia_id_4002","4.505150454058252E-5",,"kenny higgs","kevin lisch","kenny higgs","kevin lisch","0.36363636363636365","0.36363636363636365","1955-01-31","1986-05-16","1955-01-31","1986-05-16","0.0","0.0","182.8800048828125","0.0","182.8800048828125","0.0","0.8","0.8","81.62999725341797","88.0","81.62999725341797","88.0","0.9855227210304954","0.9855227210304954"
"WekaMatchingRule","player_stat_id_3703","player_dbpedia_id_4897","4.268620781440234E-6",,"sean singletary","sead šehović","sean singletary","sead šehović","0.2666666666666667","0.2666666666666667","1985-09-06","1989-08-22","1985-09-06","1989-08-22","0.0","0.0","182.8800048828125","0.0","182.8800048828125","0.0","0.8","0.8","83.9000015258789","95.0","83.9000015258789","95.0","0.9766315821597451","0.9766315821597451"
